Model,Macro_Precision,Macro_Recall,F1,Micro_Precision,Micro_Recall,Micro_F1,TP,FP,FN
mistral,0.1820739232989233,0.1630151515151515,0.16393637979667391,0.16997832369942195,0.15683333333333332,0.16314147018030511,941,4595,5059
qwen,0.15527085414585418,0.1291475108225108,0.13468112325112258,0.17246907924874028,0.1255,0.14528265483310823,753,3613,5247
gemma,0.08068387243561392,0.12276688311688311,0.09430226713191985,0.08297340304614685,0.12166666666666667,0.09866198134883093,730,8068,5270
biomistral,0.055,0.010600324675324674,0.017422222222222224,0.07417218543046358,0.009333333333333334,0.016580310880829018,56,699,5944
