Model,F1 Mean,F1 CI Lower,F1 CI Upper,Precision Mean,Precision CI Lower,Precision CI Upper,Recall Mean,Recall CI Lower,Recall CI Upper
mistral,0.16393637979667391,0.15457424093020844,0.173740093761158,0.1820739232989233,0.17223147879897877,0.19233688408813404,0.1630151515151515,0.15248654220779218,0.173571112012987
qwen,0.13468112325112258,0.12483820840279432,0.14429447406224818,0.15527085414585412,0.14358416909479407,0.16676064296814294,0.1291475108225108,0.11924819805194804,0.13888124188311687
gemma,0.09430226713191982,0.08877970117217514,0.10078042545596218,0.08068387243561391,0.07516622060870416,0.08619732195221358,0.1227668831168831,0.11401025432900432,0.13163002705627702
biomistral,0.01742222222222222,0.012832638888888888,0.022200138888888884,0.055,0.0415,0.07,0.010600324675324674,0.007715974025974026,0.013530597943722942
