Model,Raw Macro F1,Post Macro F1,Raw Micro F1,Post Micro F1,Macro Δ,Micro Δ
mistral,0.16356529508503193,0.16393637979667391,0.16270424483444282,0.16314147018030511,0.0003710847116419891,0.00043722534586229655
gemma,0.08296328703438127,0.09430226713191985,0.08683756616903587,0.09866198134883093,0.011338980097538573,0.011824415179795059
qwen,0.13459349813114455,0.13468112325112258,0.14504478474429355,0.14528265483310823,8.762511997803535e-05,0.00023787008881467897
biomistral,0.017422222222222224,0.017422222222222224,0.016563146997929608,0.016580310880829018,0.0,1.7163882899410426e-05
