Model,NBME Strict,NBME Lenient,Synthea Strict,Synthea Lenient,NBME Eval Effect,Synthea Eval Effect,Strict Dataset Effect,Lenient Dataset Effect,Interaction Effect
mistral,0.10682167141917087,0.12853695985961833,0.08743806470416787,0.2617312736811425,0.021715288440447456,0.17429320897697465,-0.019383606715003,0.1331943138215242,0.1525779205365272
gemma,0.06972852361472666,0.08795091111937524,0.12271973466003316,0.15257048092868988,0.01822238750464858,0.02985074626865672,0.052991211045306505,0.06461956980931464,0.01162835876400814
qwen,0.08906076053202086,0.11015409855276262,0.0970414201183432,0.14122287968441816,0.02109333802074176,0.04418145956607496,0.007980659586322339,0.031068781131655537,0.0230881215453332
biomistral,0.0084726867335563,0.029134150873281313,0.016522098306484923,0.2775712515489467,0.020661464139725014,0.26104915324246175,0.008049411572928624,0.24843710067566538,0.24038768910273672
